Date,Euro,GBP,JPY,CNY,MSCI_USA,VIX,MSCI,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC
12-Sep-16,0.12,1.08,0.68,-0.01,-1.48,17.74,-1.22,-0.21,-2.52,-1.29,-3,-0.13,-0.14,-1.19,-0.34,-1.41,-0.53,-1.74,0.34,0.05,0.39,0.08,0,-1.8
13-Sep-16,-0.26,-0.3,-0.13,-0.11,-0.05,1.62,-0.14,-0.69,-2.65,-2.9,-2.94,0.48,0.18,-0.39,0.06,-0.18,0.12,-0.05,-0.69,-0.68,0.1,-0.58,2.38,1.05
14-Sep-16,0.06,-0.03,-0.3,0,1.01,-10.14,0.73,1.32,1.61,2.5,0.76,-0.13,-0.61,0.07,0.49,0.99,0.85,0.34,-1.26,0,0.15,0.59,50.21,-1.04
15-Sep-16,0.78,1.83,0.19,0,-0.37,-5.71,-0.5,0.72,-1.76,-0.78,-2,-0.94,-0.59,-0.93,-1.73,-0.49,-0.3,-2.43,0.7,0,-0.23,5.58,-20.88,0
18-Sep-16,-0.16,-0.22,-0.35,-0.09,0.02,1.04,0.4,-0.47,0.39,-0.76,0.63,2.27,0.58,1.43,0.97,-0.02,1.54,1.28,0,0.77,0.6,4.71,0,-0.26
19-Sep-16,0.18,0.33,-0.23,0.08,0.02,2.51,0.01,3.85,-0.15,0.76,0.32,-0.07,0.03,-0.13,0.34,0.05,0.25,-1.17,-0.16,-0.1,-0.14,12.02,-1.91,3.63
20-Sep-16,-0.3,-0.31,-1.38,-0.01,1.09,-16.46,1.08,0.33,2.07,1.71,4.37,2.55,1,0.48,0.36,0.9,0.06,0.88,1.91,0.09,-0.1,-4.91,0,-4.5
21-Sep-16,-0.18,-0.38,0.44,-0.1,0.66,-9.62,1.1,-2.19,1.75,1.76,2.16,1.67,1,2.27,2.1,0.54,1.12,1.76,0,0.54,-1.98,-4.15,0,-0.79
22-Sep-16,-0.16,0.8,0.25,0.09,-0.56,2.25,-0.62,-1.17,-3.69,-3.23,-3.97,-1.44,-0.22,-0.47,-0.35,-0.71,-0.03,-1.11,-0.32,-0.28,-0.26,1.44,8.06,1.06
25-Sep-16,-0.25,-0.01,-0.65,-0.01,-0.84,17.98,-0.86,1.42,3.18,2.96,3.26,-1.08,0.18,-1.8,-2.27,-0.91,-1.32,-1.58,-1.25,-1.76,-0.18,-1.15,-5.71,3.16
26-Sep-16,0.35,-0.36,0.11,0.01,0.62,-9.66,0.29,-0.03,-2.91,-2.7,-2.74,-2.2,-1.02,-0.21,-0.42,0.74,-0.15,-0.36,0.84,0.6,0.84,1.4,9.16,-2.3
27-Sep-16,-0.01,0.03,0.22,0.06,0.53,-5.42,0.33,-1.47,5.92,5.75,5.33,-0.23,-0.5,0.77,0.9,0.61,0.61,0.54,-1.31,-0.34,-0.18,1.3,3.13,-0.52
28-Sep-16,-0.06,0.39,0.36,-0.12,-0.94,13.16,-0.34,0.24,1.13,1.29,1.66,0.35,0.17,0.26,-0.35,-1.07,1.02,0.72,1.39,0.36,-0.13,-1.13,4.95,1.31
29-Sep-16,-0.17,-0.06,0.32,0.05,0.8,-5.21,0.34,-1.79,-0.37,1.17,0.86,0.14,-0.67,0.1,1.18,0.91,-0.29,0.38,-1.46,0.21,0,1.53,-5.46,-1.3
2-Oct-16,0.27,1.05,0.28,0,-0.32,2.11,-0.17,0.59,3.73,1.66,1.18,-1.8,-0.33,0.12,0,-0.3,1.22,-0.77,0.9,0,-0.44,2.13,2.75,0
3-Oct-16,0.04,0.89,1.25,0,-0.49,0.44,-0.29,1.4,-0.04,0.08,-0.25,-5.79,-3.28,1.11,1.06,-0.47,1.3,0.21,0.83,0,0.15,-0.82,-4.52,0.52
4-Oct-16,0,-0.15,0.59,0,0.43,-4.70,0.19,2.6,1.95,1.79,2.34,-0.45,-0.09,-0.29,-0.41,0.62,-0.58,1.03,0.5,0,-0.43,-1.65,-6.97,0.78
5-Oct-16,0.5,1.06,0.43,0,0,-1.15,-0.16,0.26,1.25,0.85,1.22,-1.98,-1.23,-0.22,0.03,-0.07,-0.47,0.09,0.47,0,0.47,-2.06,3.31,-1.55
6-Oct-16,-0.47,1.46,-0.99,0,-0.33,4.98,-0.35,4.72,-1.1,-1.03,-1.25,0.2,-0.09,-0.67,-0.9,-0.15,0.63,-0.52,-0.23,0,-0.14,-1.17,-1.73,0
9-Oct-16,0.57,0.57,0.66,0.54,0.45,-0.74,0.4,2.57,2.33,1.96,3.09,1.61,0.68,1.06,1.28,0.49,0.75,1.38,0,1.45,-0.3,-2.33,8.24,-0.26
10-Oct-16,0.76,1.98,-0.08,0.21,-1.25,14.80,-1.1,-1.16,-1.37,-1.42,-1.09,-0.85,-0.36,-0.57,-0.57,-1.09,-0.38,-0.95,0.98,0.56,0.25,0.43,-3.1,1.06
11-Oct-16,0.42,-0.69,0.66,-0.01,0.11,3.58,-0.28,-0.83,-1.14,-1.29,-1.2,-0.02,-0.17,-0.44,-0.51,0.09,-0.66,-0.02,-1.09,-0.22,3.75,-0.51,1.37,-0.78
12-Oct-16,-0.44,-0.39,-0.48,0.1,-0.32,4.90,-0.35,4.08,0.42,0.82,0.52,-0.27,0.3,-1.06,-1.06,-0.25,-0.66,-1.22,-0.39,0.09,-0.7,2.99,0.76,0.79
13-Oct-16,0.79,0.56,0.48,0.04,0.01,-3.42,0.24,-1.68,-0.15,-0.78,-0.18,-0.1,-0.17,1.49,1.73,0.22,0.51,1.98,0.49,0.08,-0.06,-1.16,1.74,-0.26
16-Oct-16,-0.26,0.02,-0.28,0.11,-0.3,0.56,-0.35,-1.25,-0.83,-0.71,-0.81,0.19,0.09,-0.46,-0.84,-0.29,-0.94,0.23,0.26,-0.74,0.49,0.17,0,-1.55
17-Oct-16,0.18,-0.93,-0.04,0.08,0.62,-5.74,0.79,0.59,0.31,0.8,0.7,0.94,0.5,1.32,1.31,0.42,0.76,2.02,0.38,1.4,-0.43,4.5,3.96,2.36
18-Oct-16,0.07,0.07,-0.39,-0.05,0.22,-5.69,0.33,-2.85,1.92,1.23,2.6,0.14,0.55,0.25,0.21,0.22,0.31,0.46,0.21,0.03,-0.32,-4.39,2.04,-3.07
19-Oct-16,0.4,0.29,0.48,0.1,-0.16,-4.58,-0.16,-0.91,-2.45,-1.78,-2.27,-0.65,-0.19,0.44,0.45,-0.22,0.07,0.57,1.39,-0.01,-0.99,0.83,7.34,0.26
20-Oct-16,0.42,0.13,-0.13,0.32,0.01,-2.98,-0.17,-4.71,0.78,0.92,0.83,-0.32,0.02,-0.09,0.04,-0.09,-0.09,0.15,-0.3,0.21,-0.11,0.58,-1.11,-0.26
23-Oct-16,0.03,-0.02,0.36,0.11,0.5,-2.40,0.3,-5.41,-0.62,0.37,-0.65,0.63,-0.32,0.36,0.62,0.43,-0.49,0.81,0.29,1.21,-0.37,-0.66,0,-0.26
24-Oct-16,-0.07,0.42,0.05,0.08,-0.4,3.38,-0.3,-2.01,-1.3,-1.06,-1.11,1,0.78,-0.26,-0.2,-0.3,0.45,-0.44,0.76,0.12,-0.39,-5.25,0,-0.52
25-Oct-16,-0.2,-0.48,0.23,-0.11,-0.18,5.79,-0.08,-1.55,-1.59,-0.77,-1.56,-0.87,-0.55,-0.14,-0.36,0.17,-0.85,0.29,0.15,-0.5,0.08,1.23,-1.44,1.04
26-Oct-16,0.12,0.69,0.78,0.17,-0.32,7.87,-0.31,1.21,0.98,1.22,1.1,0.07,0.23,-0.02,0.05,-0.16,0.41,0.84,-0.32,-0.13,3.64,0.61,-5.52,2.57
27-Oct-16,-0.82,-0.19,-0.56,-0.09,-0.29,5.40,-0.22,12.34,-1.51,-1.78,-2.05,0.89,0.58,0.33,-0.22,-0.05,0.14,-0.59,0.63,-0.26,1.13,-3.63,-5.91,-2.26
30-Oct-16,0.04,-0.48,0.11,-0.04,0.01,5.37,0,-2.54,-2.84,-3.03,-3.78,0,-0.29,-0.86,-0.09,-0.1,-0.6,-1.15,-0.12,-0.12,-2.47,-2.84,0,1.27
31-Oct-16,-0.67,0.01,-0.66,-0.16,-0.68,8.79,-0.41,-4.1,-0.33,1.43,-0.41,3.5,1.17,-0.86,-1.62,-0.58,-0.53,-1.32,0.1,0.71,0.2,-1.37,0,1.01
1-Nov-16,-0.38,-0.49,-0.8,-0.13,-0.69,4.09,-0.66,-3.79,-2.66,-3.32,-2.85,1.49,1.57,-1.24,-1.22,-0.43,-1.04,-2.51,-1.76,-0.63,4.02,0.46,2.45,1.24
