Date,Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE,,,,,,,,,,,,,,,,
4-Sep-20,3-Sep-20,0.00,0,0,0,0.00,-14.26,0,0,-3.49,-0.63,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,-3.63,-13.22,-6.56,-5.05,-4.06,,,,,,,,,,,,,,,,
6-Sep-20,6-Sep-20,0.19,0.86,0.02,-0.16,0.35,-0.78,-1.52,-0.04,1.16,1.25,0.88,0.00,1.79,2.25,0.00,2.39,1.79,-0.5,-1.87,0.78,-0.4,0.93,1.93,1.15,,,,,,,,,,,,,,,,
7-Sep-20,7-Sep-20,0.34,1.44,-0.23,0.2,-2.23,13.81,-5.31,0.00,-5.13,-0.16,-0.42,0.52,-1.59,-0.80,-2.25,-0.12,-1.81,0.8,0.72,-2.41,-4.15,-2.3,-2.83,-2.46,,,,,,,,,,,,,,,,
8-Sep-20,8-Sep-20,-0.21,-0.16,0.15,-0.19,1.67,-0.66,2.54,-0.03,3.28,0.35,0.60,0.57,1.40,2.08,1.60,1.39,2.02,-1.04,-1.86,0.97,4.04,1.07,0.79,1.27,,,,,,,,,,,,,,,,
9-Sep-20,9-Sep-20,-0.12,1.53,-0.04,0.04,-1.08,-2.61,-1.79,0.03,-1.95,0.77,0.47,0.51,-0.38,-0.25,-1.45,-0.16,0.25,0.88,-0.61,1.13,4.79,1.71,1.75,0.87,,,,,,,,,,,,,,,,
10-Sep-20,10-Sep-20,-0.26,0.08,0.01,-0.01,0.01,-1.93,-0.57,-0.02,-0.03,-1.60,-0.84,-0.92,0.20,-0.02,0.48,0.48,0,0.74,0.79,0.49,1.58,-0.23,0.53,-0.29,,,,,,,,,,,,,,,,
13-Sep-20,13-Sep-20,-0.18,-0.40,-0.40,-0.37,1.19,-0.15,-0.55,0.01,-0.24,1.85,0.78,0.92,0.35,-0.12,1.18,-0.1,-0.14,0.65,0.57,3.38,3.01,1.5,1.92,0.26,,,,,,,,,,,,,,,,
14-Sep-20,14-Sep-20,0.18,-0.32,-0.27,-0.41,0.48,0.04,2.32,0.00,2.64,0.44,0.17,0.16,0.32,0.19,0.01,1.32,0.82,-0.44,0.51,1.03,-3.37,-0.97,-1.56,1.39,,,,,,,,,,,,,,,,
15-Sep-20,15-Sep-20,0.26,-0.61,-0.46,-0.4,-0.19,-2.81,4.17,0.01,4.82,0.05,0.20,0.20,0.13,0.08,0.13,-0.44,0.04,0.09,-0.36,1.52,0.24,1.41,-1.21,-1.25,,,,,,,,,,,,,,,,
16-Sep-20,16-Sep-20,-0.27,-0.05,-0.20,0.15,-0.83,-3.27,2.56,0.02,2.00,-1.37,-1.06,-1.08,-0.69,-0.07,-0.47,-0.47,-1.12,-0.67,-0.41,-0.07,6.6,2.17,2.36,0.48,,,,,,,,,,,,,,,,
