Date,EURO,GBP,JPY,CNY,MSCI_USA,VIX,S&P,MSCI,Natural_Gas,Brent_Oil,Heating_Oil,Crude_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,XRP,LTC,DOGE
9-Sep-24,0.13,-0.04,-0.52,0.1,0.45,-1.9,0.45,0.16,0.71,-3.69,-3.69,-369,-0.13,0.41,0.37,-0.24,-0.82,-0.23,-0.78,-1.12,-0.16,0.28,1.03,1.19,0.23,0.16,-0.93
10-Sep-24,0.06,0.27,-0.06,-0.02,1.09,-7.29,1.07,0.75,1.26,2.05,1.51,151,1.08,-0.02,0.07,-0.14,0.23,0.31,-0.15,-0.12,-1.49,-0.82,-0.51,-1.99,-1.11,1.07,-1.42
11-Sep-24,-0.55,-0.61,-0.39,-0.03,0.77,-3.5,0.75,0.91,2.17,1.93,1.36,136,4.08,1.51,1.72,0.52,0.95,0.58,0.57,0.84,3.41,-0.17,1.39,0.92,5.19,1.08,1.39
12-Sep-24,-0.01,0,-0.68,-0.34,0.56,-2.99,0.54,0.65,-1.67,-0.5,-1.55,-155,3.21,1.16,1.34,0.41,0.99,0.72,0.39,0.34,-0.68,-0.48,4.09,3.32,1.82,3.27,4.19
15-Sep-24,-0.51,-0.7,-0.16,0,0.14,3.5,0.13,0.16,1.93,1.59,0.5,50,0.2,-0.06,-0.05,-0.21,-0.35,0.55,0.06,0,0,0,-1.56,-0.92,2.6,-1,-3.11
16-Sep-24,0.18,0.42,1.28,0,0.02,2.74,0.03,-0.01,-0.99,1.31,1.81,181,-0.5,-0.63,-0.62,0.51,0.55,-0.04,0.38,0.63,-1.03,0,3.6,2.01,-0.26,1.86,1.5
17-Sep-24,-0.04,-0.39,-0.09,-0.17,-0.28,3.52,-0.29,-0.3,-1.84,-0.07,0.42,42,-0.95,0.23,0.13,-0.57,-0.08,-0.25,-0.68,-0.37,0.49,0.49,2.4,1.3,0.22,1.61,2.57
18-Sep-24,-0.39,-0.53,0.25,-0.19,1.72,-10.42,1.70,1.65,1.17,1.67,1.09,109,2.42,0.62,0.77,2.29,1.48,1.26,0.91,1.16,2.13,0.69,1.91,3.89,0.24,0.95,1.18
19-Sep-24,-0.01,-0.29,0.9,-0.24,-0.2,-1.1,-0.19,-0.34,4.78,-0.52,-0.41,-41,0.25,1.22,1.12,-1.51,-0.76,0.09,-1.19,-0.83,1.53,0.03,0.42,3.95,-0.29,-0.15,0.55
22-Sep-24,0.45,-0.19,-0.22,0,0.28,-1.61,0.28,0.31,4.97,-0.79,-0.59,-59,-1.34,0.24,0.1,0.1,0.76,0.15,0.36,-0.24,0,0.44,-0.38,2.53,-0.4,-2.56,1.59
